observation_date,RRVRUSQ156N
4/1/1985,6.2
7/1/1985,6.8
10/1/1985,6.7
1/1/1986,6.9
4/1/1986,7.3
7/1/1986,7.5
10/1/1986,7.7
1/1/1987,7.4
4/1/1987,7.5
7/1/1987,8.1
10/1/1987,7.8
1/1/1988,8
4/1/1988,7.7
7/1/1988,7.8
10/1/1988,7.3
1/1/1989,7.5
4/1/1989,7.4
7/1/1989,7.6
10/1/1989,7.1
1/1/1990,7.5
4/1/1990,7
7/1/1990,7.2
10/1/1990,7.2
1/1/1991,7.5
4/1/1991,7.3
7/1/1991,7.6
10/1/1991,7.3
1/1/1992,7.4
4/1/1992,7.7
7/1/1992,7.3
10/1/1992,7.1
1/1/1993,7.8
4/1/1993,7.6
7/1/1993,7
10/1/1993,6.9
1/1/1994,7.5
4/1/1994,7.4
7/1/1994,7.2
10/1/1994,7.4
1/1/1995,7.4
4/1/1995,7.7
7/1/1995,7.7
10/1/1995,7.7
1/1/1996,7.9
4/1/1996,7.8
7/1/1996,8
10/1/1996,7.7
1/1/1997,7.5
4/1/1997,7.9
7/1/1997,7.9
10/1/1997,7.7
1/1/1998,7.7
4/1/1998,8
7/1/1998,8.2
10/1/1998,7.8
1/1/1999,8.2
4/1/1999,8.1
7/1/1999,8.2
10/1/1999,7.9
1/1/2000,7.9
4/1/2000,8
7/1/2000,8.2
10/1/2000,7.8
1/1/2001,8.2
4/1/2001,8.3
7/1/2001,8.4
10/1/2001,8.8
1/1/2002,9.1
4/1/2002,8.4
7/1/2002,9
10/1/2002,9.3
1/1/2003,9.4
4/1/2003,9.6
7/1/2003,9.9
10/1/2003,10.2
1/1/2004,10.4
4/1/2004,10.2
7/1/2004,10.1
10/1/2004,10
1/1/2005,10.1
4/1/2005,9.8
7/1/2005,9.9
10/1/2005,9.6
1/1/2006,9.5
4/1/2006,9.6
7/1/2006,9.9
10/1/2006,9.8
1/1/2007,10.1
4/1/2007,9.5
7/1/2007,9.8
10/1/2007,9.6
1/1/2008,10.1
4/1/2008,10
7/1/2008,9.9
10/1/2008,10.1
1/1/2009,10.1
4/1/2009,10.6
7/1/2009,11.1
10/1/2009,10.7
1/1/2010,10.6
4/1/2010,10.6
7/1/2010,10.3
10/1/2010,9.4
1/1/2011,9.7
4/1/2011,9.2
7/1/2011,9.8
10/1/2011,9.4
1/1/2012,8.8
4/1/2012,8.6
7/1/2012,8.6
10/1/2012,8.7
1/1/2013,8.6
4/1/2013,8.2
7/1/2013,8.3
10/1/2013,8.2
1/1/2014,8.3
4/1/2014,7.5
7/1/2014,7.4
10/1/2014,7
1/1/2015,7.1
4/1/2015,6.8
7/1/2015,7.3
10/1/2015,7
1/1/2016,7
4/1/2016,6.7
7/1/2016,6.8
10/1/2016,6.9
1/1/2017,7
4/1/2017,7.3
7/1/2017,7.5
10/1/2017,6.9
1/1/2018,7
4/1/2018,6.8
7/1/2018,7.1
10/1/2018,6.6
1/1/2019,7
4/1/2019,6.8
7/1/2019,6.8
10/1/2019,6.4
1/1/2020,6.6
4/1/2020,5.7
7/1/2020,6.4
10/1/2020,6.5
1/1/2021,6.8
4/1/2021,6.2
7/1/2021,5.8
10/1/2021,5.6
1/1/2022,5.8
4/1/2022,5.6
7/1/2022,6
10/1/2022,5.8
